행정구역,총인구수,연령구간인구수,2020년12월_계_0~9세,2020년12월_계_10~19세,2020년12월_계_20~29세,2020년12월_계_30~39세,2020년12월_계_40~49세,2020년12월_계_50~59세,2020년12월_계_60~69세,2020년12월_계_70~79세,2020년12월_계_80~89세,2020년12월_계_90~99세,2020년12월_계_100세 이상
서울특별시 성북구 (1129000000),437153.0,437153.0,28822.0,37145.0,66972.0,59843.0,69839.0,69381.0,54897.0,33568.0,14229.0,2073.0,384.0
서울특별시 성북구 성북동(1129052500),16868.0,16868.0,777.0,1196.0,2816.0,2516.0,2550.0,2768.0,2059.0,1349.0,688.0,133.0,16.0
서울특별시 성북구 삼선동(1129055500),23580.0,23580.0,1155.0,1899.0,4278.0,3339.0,3704.0,3682.0,2738.0,1828.0,814.0,110.0,33.0
서울특별시 성북구 동선동(1129057500),15610.0,15610.0,586.0,948.0,4492.0,2515.0,2037.0,1931.0,1471.0,1073.0,466.0,72.0,19.0
서울특별시 성북구 돈암제1동(1129058000),15292.0,15292.0,842.0,1336.0,2081.0,1979.0,2213.0,2721.0,2174.0,1290.0,568.0,75.0,13.0
서울특별시 성북구 돈암제2동(1129059000),24589.0,24589.0,2021.0,2873.0,3021.0,3044.0,4514.0,4078.0,2724.0,1456.0,719.0,129.0,10.0
서울특별시 성북구 안암동(1129060000),15093.0,15093.0,442.0,839.0,5081.0,2013.0,1684.0,2047.0,1476.0,992.0,445.0,60.0,14.0
서울특별시 성북구 보문동(1129061000),15768.0,15768.0,981.0,955.0,2708.0,2627.0,2415.0,2557.0,1896.0,1097.0,451.0,66.0,15.0
서울특별시 성북구 정릉제1동(1129062000),18677.0,18677.0,1430.0,1804.0,2310.0,2645.0,3260.0,2858.0,2245.0,1416.0,614.0,81.0,14.0
서울특별시 성북구 정릉제2동(1129063000),23501.0,23501.0,1524.0,1894.0,3251.0,3160.0,3628.0,3746.0,3347.0,2017.0,799.0,117.0,18.0
서울특별시 성북구 정릉제3동(1129064000),15541.0,15541.0,618.0,978.0,3176.0,1911.0,1948.0,2390.0,2215.0,1492.0,688.0,116.0,9.0
서울특별시 성북구 정릉제4동(1129065000),25609.0,25609.0,1683.0,2172.0,3270.0,3288.0,4220.0,4178.0,3587.0,2188.0,861.0,139.0,23.0
서울특별시 성북구 길음제1동(1129066000),36402.0,36402.0,4035.0,4873.0,3497.0,4720.0,7952.0,4970.0,3297.0,2089.0,813.0,129.0,27.0
서울특별시 성북구 길음제2동(1129068500),17051.0,17051.0,1462.0,1418.0,2128.0,2533.0,2954.0,2776.0,2107.0,1142.0,449.0,62.0,20.0
서울특별시 성북구 종암동(1129070500),39786.0,39786.0,2735.0,3682.0,5838.0,5236.0,6463.0,6369.0,4788.0,2917.0,1471.0,243.0,44.0
서울특별시 성북구 월곡제1동(1129071500),26918.0,26918.0,2096.0,2625.0,3045.0,3596.0,4607.0,4258.0,3554.0,2172.0,844.0,97.0,24.0
서울특별시 성북구 월곡제2동(1129072500),19928.0,19928.0,1107.0,1491.0,3583.0,2738.0,2872.0,3042.0,2664.0,1623.0,704.0,93.0,11.0
서울특별시 성북구 장위제1동(1129076000),20268.0,20268.0,918.0,1605.0,3035.0,2488.0,2917.0,3829.0,3025.0,1656.0,689.0,91.0,15.0
서울특별시 성북구 장위제2동(1129077000),13867.0,13867.0,603.0,899.0,1931.0,1699.0,1975.0,2457.0,2185.0,1443.0,568.0,79.0,28.0
